dataset_name,model_variant,seed,signal_name,detector_type,params,value_scale,n_gt_drifts,n_detected,MDR,MTD,MTFA,MTR
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",10.0,4,1,0.75,607.0,,
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",10.0,4,0,1.0,,,
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",25.0,4,21,0.0,1351.0,2932.0,2.170244263508512
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",25.0,4,19,0.0,1175.0,3382.8571428571427,2.8790273556231
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",25.0,4,14,0.0,3115.0,2787.5555555555557,0.8948813982521848
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",25.0,4,3,0.5,423.0,,
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",25.0,4,1,0.75,1583.0,,
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",50.0,4,25,0.0,951.0,2323.2,2.4429022082018927
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",50.0,4,21,0.0,1351.0,2932.0,2.170244263508512
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",50.0,4,19,0.0,1175.0,3382.8571428571427,2.8790273556231
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",50.0,4,10,0.25,3524.3333333333335,4000.0,1.513288565213279
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",50.0,4,3,0.5,423.0,,
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.05}",100.0,4,26,0.0,919.0,2285.714285714286,2.487175501321312
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.1}",100.0,4,25,0.0,951.0,2323.2,2.4429022082018927
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.2}",100.0,4,21,0.0,1351.0,2932.0,2.170244263508512
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 0.5}",100.0,4,17,0.0,903.0,4006.6666666666665,4.437061646363972
sine_abrupt4,baseline_student,1,divergence_js,ph,"{""alpha"": 0.1, ""delta"": 0.005, ""min_instances"": 30, ""threshold"": 1.0}",100.0,4,10,0.25,3524.3333333333335,4000.0,1.513288565213279
sine_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.1}",1.0,4,5,0.0,2135.0,,
sine_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.05}",1.0,4,4,0.0,2647.0,,
sine_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.01}",1.0,4,4,0.0,2647.0,,
sine_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.005}",1.0,4,4,0.0,2647.0,,
sine_abrupt4,baseline_student,2,student_error_rate,adwin,"{""delta"": 0.001}",1.0,4,3,0.25,2527.0,,
sine_abrupt4,baseline_student,2,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.05}",1.0,4,31,0.0,999.0,1846.1538461538462,1.848001848001848
sine_abrupt4,baseline_student,2,student_error_rate,ph,"{""alpha"": 0.15, ""delta"": 0.005, ""min_instances"": 25, ""threshold"": 0.1}",1.0,4,31,0.0,999.0,1846.1538461538462,1.848001848001848
