track,dataset,seed,group,run_id,confirm_theta,confirm_window,confirm_cooldown,confirmed_count_total,horizon,confirm_rate_per_10k,median_gap_between_confirms,p10_gap_between_confirms,acc_min_raw,acc_min@2000,post_min@W1000,post_mean@W1000,recovery_time_to_pre90
R,INSECTS_abrupt_balanced,5,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,39,52847,7.379794501106969,1280.0,1280.0,0.1484375,0.16502490942028986,0.1870112801299665,0.18781268896873007,178.4
R,INSECTS_abrupt_balanced,6,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,39,52847,7.379794501106969,1280.0,1280.0,0.155174365942029,0.155174365942029,0.18318390731398182,0.18403345718968842,178.4
R,INSECTS_abrupt_balanced,7,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,40,52847,7.569020001135353,1280.0,1280.0,0.1328125,0.16683650362318841,0.19454645256037373,0.19539313555465482,178.4
R,INSECTS_abrupt_balanced,8,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,40,52847,7.569020001135353,1280.0,1280.0,0.14453125,0.16508152173913043,0.19208990648222332,0.19315167757389803,178.4
R,INSECTS_abrupt_balanced,9,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,36,52847,6.812118001021818,1280.0,1280.0,0.15738224637681159,0.15738224637681159,0.18513116964576232,0.18585412579305,178.4
R,INSECTS_abrupt_balanced,10,cooldown,20260108-111112-t4v_cooldown_theta0.50_w1_cd200,0.5,1,200,39,52847,7.379794501106969,1280.0,1280.0,0.1554008152173913,0.1554008152173913,0.18717742044690314,0.1881042847930209,178.4
R,sea_abrupt4,1,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,148,50000,29.6,320.0,320.0,0.28125,0.6904296875,,,
R,sea_abrupt4,2,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,149,50000,29.8,320.0,320.0,0.71484375,0.7481060606060606,,,
R,sea_abrupt4,3,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,151,50000,30.2,320.0,320.0,0.7239583333333334,0.7694128787878788,,,
R,sea_abrupt4,4,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,153,50000,30.6,320.0,320.0,0.578125,0.7702205882352942,,,
R,sea_abrupt4,5,v2_gate_m1_cd,20260108-111220-z2x_v2_gate_m1_cd_theta0.50_w1_cd200,0.5,1,200,150,50000,30.0,320.0,320.0,0.34375,0.712890625,,,
